Species,SubjectID,Test,Cue,RewardingStimulus,FirstChoice,Performance
Bumblebee,1,1,2,6,6,1
Bumblebee,1,2,1,4,4,1
Bumblebee,2,1,1,4,4,1
Bumblebee,2,2,2,6,4,0
Bumblebee,3,1,2,6,6,1
Bumblebee,3,2,1,4,4,1
Bumblebee,4,1,1,4,4,1
Bumblebee,4,2,2,6,6,1
Bumblebee,5,1,2,6,6,1
Bumblebee,5,2,1,4,6,0
Bumblebee,6,1,1,4,4,1
Bumblebee,6,2,2,6,4,0
Bumblebee,7,1,2,6,4,0
Bumblebee,7,2,1,4,4,1
Bumblebee,8,1,2,6,4,0
Bumblebee,8,2,1,4,4,1
Bumblebee,9,1,1,4,4,1
Bumblebee,9,2,2,6,6,1
Bumblebee,10,1,2,6,4,0
Bumblebee,10,2,1,4,4,1
Bumblebee,11,1,1,6,6,1
Bumblebee,11,2,2,4,4,1
Bumblebee,12,1,2,4,4,1
Bumblebee,12,2,1,6,6,1
Bumblebee,13,1,1,6,6,1
Bumblebee,13,2,2,4,6,0
Bumblebee,14,1,2,4,4,1
Bumblebee,14,2,1,6,4,0
Bumblebee,15,1,1,6,6,1
Bumblebee,15,2,2,4,4,1
Bumblebee,16,1,2,4,4,1
Bumblebee,16,2,1,6,6,1
Bumblebee,17,1,2,4,4,1
Bumblebee,17,2,1,6,6,1
Bumblebee,18,1,1,6,4,0
Bumblebee,18,2,2,4,6,0
Bumblebee,19,1,1,6,6,1
Bumblebee,19,2,2,4,4,1
Bumblebee,20,1,1,6,6,1
Bumblebee,20,2,2,4,4,1
Honeybee,21,1,1,4,4,1
Honeybee,21,2,2,6,6,1
Honeybee,22,1,1,4,6,0
Honeybee,22,2,2,6,6,1
Honeybee,23,1,1,6,4,0
Honeybee,23,2,2,4,6,0
Honeybee,24,1,1,4,6,0
Honeybee,24,2,2,6,6,1
Honeybee,25,1,1,4,4,1
Honeybee,25,2,2,6,4,0
Honeybee,27,1,1,6,6,1
Honeybee,27,2,2,4,4,1
Honeybee,28,1,1,4,4,1
Honeybee,28,2,2,6,6,1
Honeybee,31,1,1,4,4,1
Honeybee,31,2,2,6,6,1
Honeybee,30,1,1,6,4,0
Honeybee,30,2,2,4,4,1
Honeybee,26,1,1,6,6,1
Honeybee,26,2,2,4,4,1
Honeybee,29,1,1,4,4,1
Honeybee,29,2,2,6,6,1
Honeybee,32,1,1,6,6,1
Honeybee,32,2,2,4,4,1
Honeybee,33,1,1,4,4,1
Honeybee,33,2,2,6,6,1
Honeybee,34,1,1,6,6,1
Honeybee,34,2,2,4,4,1
Honeybee,35,1,1,4,4,1
Honeybee,35,2,2,6,4,0
Honeybee,36,1,1,4,6,0
Honeybee,36,2,2,6,6,1
Honeybee,37,1,1,6,6,1
Honeybee,37,2,2,4,4,1
Honeybee,38,1,1,4,6,0
Honeybee,38,2,2,6,6,1
Honeybee,39,1,1,4,4,1
Honeybee,39,2,2,6,4,0
Honeybee,40,1,1,6,4,0
Honeybee,40,2,2,4,4,1
Honeybee,41,1,1,6,6,1
Honeybee,41,2,2,4,6,0
Honeybee,42,1,1,6,4,0
Honeybee,42,2,2,4,6,0
Hummingbird,43,1,1,4,6,0
Hummingbird,43,2,2,6,6,1
Hummingbird,44,1,1,6,6,1
Hummingbird,44,2,2,4,4,1
Hummingbird,45,1,2,6,6,1
Hummingbird,45,2,1,4,4,1
Hummingbird,46,1,1,4,4,1
Hummingbird,46,2,2,6,6,1
Hummingbird,47,1,2,4,6,0
Hummingbird,47,2,1,6,6,1
Hummingbird,48,1,2,4,4,1
Hummingbird,48,2,2,4,4,1
Hummingbird,49,1,2,4,4,1
Hummingbird,49,2,1,6,6,1
Hummingbird,50,1,2,4,4,1
Hummingbird,50,2,1,6,4,0
Hummingbird,51,1,2,6,4,0
Hummingbird,51,2,1,4,4,1
Hummingbird,52,1,1,4,4,1
Hummingbird,52,2,2,6,1,0