Species,DurationHoverBeforeFirstChoice
Bumblebee,4.976667
Bumblebee,5.896667
Bumblebee,6.45
Bumblebee,2.560714
Bumblebee,2.343333
Bumblebee,3.276667
Bumblebee,2.656667
Bumblebee,3.54
Bumblebee,2.536667
Bumblebee,4.456667
Bumblebee,3.296667
Bumblebee,5.74
Bumblebee,2.203333
Bumblebee,3.523333
Bumblebee,5.436667
Bumblebee,2.85
Bumblebee,3.79
Bumblebee,3.92
Bumblebee,4.08
Bumblebee,1.716667
Honeybee,2.365517
Honeybee,3.916
Honeybee,3.096552
Honeybee,2.31
Honeybee,4.230769
Honeybee,3.523077
Honeybee,3.066667
Honeybee,1.842857
Honeybee,1.353571
Honeybee,4.248276
Honeybee,5.407692
Honeybee,3.664286
Honeybee,3.326667
Honeybee,1.216667
Honeybee,2.117241
Honeybee,3.126667
Honeybee,5.244828
Honeybee,2.931034
Honeybee,8.575862
Honeybee,2.858621
Honeybee,7.317241
Honeybee,4.124138
Hummingbird,0.5121622
Hummingbird,0.6259259
Hummingbird,0.5653846
Hummingbird,1.0692308
Hummingbird,0.8255319
Hummingbird,0.6913043
Hummingbird,0.7134615
Hummingbird,0.6035714
Hummingbird,0.6194805
Hummingbird,0.5745763